Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Western Carriers (India) Ltd,24-Sep-24,172,170,85.9,-50.06
Pelatro Ltd,24-Sep-24,200,275,343,71.5
OSEL Devices Ltd,24-Sep-24,160,198.05,226.6,41.63
Deccan Transcon Leasing Ltd,24-Sep-24,108,116,57.15,-47.08
Envirotech Systems Ltd,24-Sep-24,56,106.4,105.5,88.39
Northern ARC Capital Ltd,24-Sep-24,263,351,173.2,-34.14
Popular Foundations Ltd,24-Sep-24,37,37,27.8,-24.86
Arkade Developers Ltd,24-Sep-24,128,175.9,143.09,11.79
Sodhani Academy of Fintech Enablers Ltd,23-Sep-24,40,53,216.2,440.5
Excellent Wires and Packaging Ltd,19-Sep-24,90,85,54,-40
Innomet Advanced Materials Ltd,18-Sep-24,100,190,144,44
P N Gadgil Jewellers Ltd,17-Sep-24,480,834,538.45,12.18
SPP Polymer Ltd,17-Sep-24,59,63,22,-62.71
Bajaj Housing Finance Ltd,16-Sep-24,70,150,116.38,66.26
Tolins Tyres Ltd,16-Sep-24,226,227,126.75,-43.92
Innova Captab Ltd,29-Dec-23,448,456.1,766.05,70.99
Supreme Power Equipment Ltd,29-Dec-23,65,98,115.7,78
Indifra Ltd,29-Dec-23,65,72,14.75,-77.31
Trident Techlabs Ltd,29-Dec-23,35,98.15,889.2,2440.57
Azad Engineering Ltd,28-Dec-23,524,710,1330.85,153.98
Happy Forgings Ltd,27-Dec-23,850,1001.25,810,-4.71
Electro Force (India) Ltd,27-Dec-23,93,100,40,-56.99
RBZ Jewellers Ltd,27-Dec-23,100,100,148.27,48.27
Credo Brands Marketing Ltd,27-Dec-23,280,282,131.01,-53.21
Shanti Spintex Ltd,27-Dec-23,70,76,60,-14.29
Sahara Maritime Ltd,26-Dec-23,81,81,46.9,-42.1
Muthoot Microfin Ltd,26-Dec-23,291,278,132.95,-54.31
Suraj Estate Developers Ltd,26-Dec-23,360,343.8,333.95,-7.24
Motisons Jewellers Ltd,26-Dec-23,55,103.9,18.19,-66.93
Inox India Ltd,21-Dec-23,660,933.15,1001.4,51.73
Shree OSFM E-Mobility Ltd,21-Dec-23,65,65,96.85,49
Siyaram Recycling Industries Ltd,21-Dec-23,46,55,129.15,180.76
Benchmark Computer Solutions Ltd,21-Dec-23,66,80,35.3,-46.52
India Shelter Finance Corporation Ltd,20-Dec-23,493,612.7,752.35,52.61
Doms Industries Ltd,20-Dec-23,790,1400,2709.8,243.01
S J Logistics (India) Ltd,19-Dec-23,125,175,549.8,339.84
Presstonic Engineering Ltd,18-Dec-23,72,140,91.75,27.43
Accent Microcell Ltd,15-Dec-23,140,300,217.9,55.64
Graphisads Ltd,13-Dec-23,111,111.5,55.75,-49.77
Sheetal Universal Ltd,11-Dec-23,70,75,77.3,10.43
Marinetrans India Ltd,08-Dec-23,26,30,17.8,-31.54
Net Avenue Technologies Ltd,08-Dec-23,18,42,6.9,-61.67
Amic Forging Ltd,06-Dec-23,126,239.4,1107,778.57
Deepak Chemtex Ltd,06-Dec-23,80,152,105,31.25
Swashthik Plascon Ltd,05-Dec-23,86,120.1,60.62,-29.51
Flair Writing Industries Ltd,01-Dec-23,304,503,221.38,-27.18
Tata Technologies Ltd,30-Nov-23,500,1199.95,671.55,34.31
Rockingdeals Circular Economy Ltd,30-Nov-23,140,300,466.8,233.43
Gandhar Oil Refinery (India) Ltd,30-Nov-23,169,295.4,148.92,-11.88
Fedbank Financial Services Ltd,30-Nov-23,140,137.75,91.45,-34.68
Indian Renewable Energy Development Agency Ltd,29-Nov-23,32,50,149.59,367.47
Arrowhead Seperation Engineering Ltd,28-Nov-23,233,250,93.75,-59.76
Sunrest Lifescience Ltd,20-Nov-23,84,84,60,-28.57
Kalyani Cast-Tech Ltd,17-Nov-23,139,264.1,420,202.16
ROX Hi-Tech Ltd,16-Nov-23,83,135,59.3,-28.55
ASK Automotive Ltd,15-Nov-23,282,304.9,413.6,46.67
Baba Food Processing India Ltd,15-Nov-23,76,76,48.25,-36.51
Protean eGov Technologies Ltd,13-Nov-23,792,792,1395.1,76.15
ESAF Small Finance Bank Ltd,10-Nov-23,60,71.9,30.3,-49.5
Micropro Software Solutions Ltd,10-Nov-23,81,80,27.85,-65.62
Mish Designs Ltd,07-Nov-23,122,160,92,-24.59
Maitreya Medicare Ltd,07-Nov-23,82,162.55,246.1,200.12
Honasa Consumer Ltd,07-Nov-23,324,324,223.87,-30.9
KK Shah Hospitals Ltd,06-Nov-23,45,56.1,42.4,-5.78
Transteel Seating Technologies Ltd,06-Nov-23,70,88.9,101.5,45
Cello World Ltd,06-Nov-23,648,831,550.35,-15.07
Vrundavan Plantation Ltd,06-Nov-23,108,107,54.4,-49.63
Shanthala FMCG Products Ltd,03-Nov-23,91,108,22.55,-75.22
Paragon Fine and Speciality Chemical Ltd,03-Nov-23,100,225,74.3,-25.7
Blue Jet Healthcare Ltd,01-Nov-23,346,359.9,837.4,142.02
On Door Concepts Ltd,01-Nov-23,208,214,152.95,-26.47
